2022-03-22 16:44:12 status half-installed libkrb5-3:amd64 1.18.3-6+deb11u1
2022-03-22 16:44:12 status unpacked libkrb5-3:amd64 1.18.3-6+deb11u1
2022-03-22 16:44:12 install libkrb5support0:amd64 <none> 1.18.3-6+deb11u1
2022-03-22 16:44:12 status half-installed libkrb5support0:amd64 1.18.3-6+deb11u1
2022-03-22 16:44:12 status unpacked libkrb5support0:amd64 1.18.3-6+deb11u1
2022-03-22 16:44:12 install libcap-ng0:amd64 <none> 0.7.9-2.2+b1
2022-03-22 16:44:12 status half-installed libcap-ng0:amd64 0.7.9-2.2+b1
2022-03-22 16:44:12 status unpacked libcap-ng0:amd64 0.7.9-2.2+b1
2022-03-22 16:44:12 install libffi7:amd64 <none> 3.3-6
2022-03-22 16:44:12 status half-installed libffi7:amd64 3.3-6
2022-03-22 16:44:12 status unpacked libffi7:amd64 3.3-6
2022-03-22 16:44:13 install libgcrypt20:amd64 <none> 1.8.7-6
2022-03-22 16:44:13 status half-installed libgcrypt20:amd64 1.8.7-6
2022-03-22 16:44:13 status unpacked libgcrypt20:amd64 1.8.7-6
2022-03-22 16:44:13 install libgpg-error0:amd64 <none> 1.38-2
2022-03-22 16:44:13 status half-installed libgpg-error0:amd64 1.38-2
2022-03-22 16:44:13 status unpacked libgpg-error0:amd64 1.38-2
2022-03-22 16:44:13 install libidn2-0:amd64 <none> 2.3.0-5
2022-03-22 16:44:13 status half-installed libidn2-0:amd64 2.3.0-5
2022-03-22 16:44:13 status unpacked libidn2-0:amd64 2.3.0-5
2022-03-22 16:44:13 install libnsl2:amd64 <none> 1.3.0-2
2022-03-22 16:44:13 status half-installed libnsl2:amd64 1.3.0-2
2022-03-22 16:44:13 status unpacked libnsl2:amd64 1.3.0-2
2022-03-22 16:44:13 install libseccomp2:amd64 <none> 2.5.1-1+deb11u1
2022-03-22 16:44:13 status half-installed libseccomp2:amd64 2.5.1-1+deb11u1
2022-03-22 16:44:13 status unpacked libseccomp2:amd64 2.5.1-1+deb11u1
2022-03-22 16:44:13 install libselinux1:amd64 <none> 3.1-3
2022-03-22 16:44:13 status half-installed libselinux1:amd64 3.1-3
2022-03-22 16:44:13 status unpacked libselinux1:amd64 3.1-3
2022-03-22 16:44:13 install libsemanage-common:all <none> 3.1-1
2022-03-22 16:44:13 status half-installed libsemanage-common:all 3.1-1
2022-03-22 16:44:13 status unpacked libsemanage-common:all 3.1-1
2022-03-22 16:44:13 install libsemanage1:amd64 <none> 3.1-1+b2
2022-03-22 16:44:13 status half-installed libsemanage1:amd64 3.1-1+b2
2022-03-22 16:44:13 status unpacked libsemanage1:amd64 3.1-1+b2
2022-03-22 16:44:13 install libsepol1:amd64 <none> 3.1-1
2022-03-22 16:44:13 status half-installed libsepol1:amd64 3.1-1
2022-03-22 16:44:13 status unpacked libsepol1:amd64 3.1-1
2022-03-22 16:44:13 install libtasn1-6:amd64 <none> 4.16.0-2
2022-03-22 16:44:13 status half-installed libtasn1-6:amd64 4.16.0-2
2022-03-22 16:44:13 status unpacked libtasn1-6:amd64 4.16.0-2
2022-03-22 16:44:13 install libtirpc-common:all <none> 1.3.1-1
2022-03-22 16:44:13 status half-installed libtirpc-common:all 1.3.1-1
2022-03-22 16:44:13 status unpacked libtirpc-common:all 1.3.1-1
